inputzero[3]	inputone[3]	inputtwo[3]	inputthree[3]	selector[2]	muxoutput[3]
111	111	000	000	00	111
011	001	011	010	00	011
111	000	100	110	11	110
100	001	101	111	01	001
011	000	100	101	11	101
011	110	000	001	00	011
111	000	010	100	00	111
110	101	011	010	11	010
000	010	111	110	10	111
001	100	010	111	00	001
011	110	100	000	10	100
001	110	010	011	11	011
000	100	111	110	11	110
100	011	101	000	00	100
101	110	101	110	00	101
110	100	011	111	10	011
101	011	011	100	10	011
111	001	111	011	11	011
000	001	100	100	00	000
001	100	010	010	01	100
111	100	111	001	01	100
111	000	111	001	01	000
111	111	000	011	00	111
001	111	111	001	01	111
000	010	011	111	00	000
110	110	110	110	01	110
111	111	100	001	00	111
100	001	001	101	01	001
000	100	101	101	00	000
100	110	011	101	00	100
001	000	101	001	11	001
010	111	001	011	10	001
010	010	010	100	00	010
001	111	111	011	10	111
011	010	111	101	11	101
110	100	100	110	01	100
110	010	111	000	11	000
101	100	010	011	10	010
101	010	000	011	00	101
001	111	011	000	10	011
110	001	001	001	11	001
010	111	001	000	01	111
100	111	111	001	10	111
000	100	011	111	10	011
011	010	000	110	11	110
101	011	011	110	01	011
011	010	110	100	00	011
010	001	001	111	11	111
110	101	101	001	00	110
010	011	101	101	10	101
110	110	000	101	01	110
011	101	101	010	10	101
000	100	000	111	10	000
110	011	111	000	10	111
111	010	111	100	00	111
101	111	101	000	00	101
100	011	010	011	11	011
011	111	011	111	10	011
011	111	000	001	01	111
011	111	011	001	10	011
001	001	101	001	00	001
001	101	000	000	11	000
010	111	000	110	11	110
110	100	111	110	11	110
010	000	111	000	11	000
001	000	000	110	11	110
011	000	100	110	11	110
001	000	000	111	01	000
110	010	000	011	01	010
001	000	010	000	01	000
111	010	101	011	10	101
101	010	100	111	01	010
001	001	000	111	10	000
011	001	101	010	10	101
010	001	011	000	11	000
111	101	100	100	10	100
010	010	001	100	00	010
111	100	111	000	10	111
111	000	100	101	00	111
110	011	011	000	11	000
101	011	111	111	01	011
110	111	111	011	11	011
010	001	100	000	01	001
111	110	101	101	11	101
111	000	100	101	10	100
110	011	110	000	10	110
100	100	001	100	00	100
010	010	101	011	10	101
110	100	011	111	01	100
010	111	101	001	00	010
011	111	001	011	11	011
011	001	000	100	11	100
111	111	001	011	10	001
111	100	100	001	11	001
000	001	111	100	00	000
011	000	011	011	10	011
111	001	000	111	00	111
001	100	101	000	10	101
001	011	100	011	01	011
101	011	001	011	11	011
100	000	001	001	10	001
101	000	001	100	10	001
110	001	011	101	10	011
011	000	111	101	00	011
001	000	110	001	00	001
110	010	110	110	11	110
101	011	000	111	10	000
111	011	000	101	00	111
111	011	100	110	10	100
010	111	011	100	00	010
111	001	001	000	10	001
100	100	100	001	11	001
000	101	010	000	11	000
011	111	000	111	01	111
010	000	000	010	10	000
100	000	101	101	00	100
011	011	100	010	10	100
111	000	110	101	01	000
110	100	001	000	10	001
000	111	111	000	00	000
100	101	000	101	00	100
001	110	110	101	10	110
001	000	010	011	11	011
100	111	111	110	01	111
010	000	110	111	01	000
110	101	001	110	10	001
100	101	001	101	00	100
001	010	110	110	10	110
