twelvebitinput[12]	zeroes[4]
000000000000	1100
000000000001	1011
000000000010	1011
000000000011	1010
000000000100	1011
000000000101	1010
000000000110	1010
000000000111	1001
000000001000	1011
000000001001	1010
000000001010	1010
000000001011	1001
000000001100	1010
000000001101	1001
000000001110	1001
000000001111	1000
000000010000	1011
000000010001	1010
000000010010	1010
000000010011	1001
000000010100	1010
000000010101	1001
000000010110	1001
000000010111	1000
000000011000	1010
000000011001	1001
000000011010	1001
000000011011	1000
000000011100	1001
000000011101	1000
000000011110	1000
000000011111	0111
000000100000	1011
000000100001	1010
000000100010	1010
000000100011	1001
000000100100	1010
000000100101	1001
000000100110	1001
000000100111	1000
000000101000	1010
000000101001	1001
000000101010	1001
000000101011	1000
000000101100	1001
000000101101	1000
000000101110	1000
000000101111	0111
000000110000	1010
000000110001	1001
000000110010	1001
000000110011	1000
000000110100	1001
000000110101	1000
000000110110	1000
000000110111	0111
000000111000	1001
000000111001	1000
000000111010	1000
000000111011	0111
000000111100	1000
000000111101	0111
000000111110	0111
000000111111	0110
000001000000	1011
000001000001	1010
000001000010	1010
000001000011	1001
000001000100	1010
000001000101	1001
000001000110	1001
000001000111	1000
000001001000	1010
000001001001	1001
000001001010	1001
000001001011	1000
000001001100	1001
000001001101	1000
000001001110	1000
000001001111	0111
000001010000	1010
000001010001	1001
000001010010	1001
000001010011	1000
000001010100	1001
000001010101	1000
000001010110	1000
000001010111	0111
000001011000	1001
000001011001	1000
000001011010	1000
000001011011	0111
000001011100	1000
000001011101	0111
000001011110	0111
000001011111	0110
000001100000	1010
000001100001	1001
000001100010	1001
000001100011	1000
000001100100	1001
000001100101	1000
000001100110	1000
000001100111	0111
000001101000	1001
000001101001	1000
000001101010	1000
000001101011	0111
000001101100	1000
000001101101	0111
000001101110	0111
000001101111	0110
000001110000	1001
000001110001	1000
000001110010	1000
000001110011	0111
000001110100	1000
000001110101	0111
000001110110	0111
000001110111	0110
000001111000	1000
000001111001	0111
000001111010	0111
000001111011	0110
000001111100	0111
000001111101	0110
000001111110	0110
000001111111	0101
000010000000	1011
000010000001	1010
000010000010	1010
000010000011	1001
000010000100	1010
000010000101	1001
000010000110	1001
000010000111	1000
000010001000	1010
000010001001	1001
000010001010	1001
000010001011	1000
000010001100	1001
000010001101	1000
000010001110	1000
000010001111	0111
000010010000	1010
000010010001	1001
000010010010	1001
000010010011	1000
000010010100	1001
000010010101	1000
000010010110	1000
000010010111	0111
000010011000	1001
000010011001	1000
000010011010	1000
000010011011	0111
000010011100	1000
000010011101	0111
000010011110	0111
000010011111	0110
000010100000	1010
000010100001	1001
000010100010	1001
000010100011	1000
000010100100	1001
000010100101	1000
000010100110	1000
000010100111	0111
000010101000	1001
000010101001	1000
000010101010	1000
000010101011	0111
000010101100	1000
000010101101	0111
000010101110	0111
000010101111	0110
000010110000	1001
000010110001	1000
000010110010	1000
000010110011	0111
000010110100	1000
000010110101	0111
000010110110	0111
000010110111	0110
000010111000	1000
000010111001	0111
000010111010	0111
000010111011	0110
000010111100	0111
000010111101	0110
000010111110	0110
000010111111	0101
000011000000	1010
000011000001	1001
000011000010	1001
000011000011	1000
000011000100	1001
000011000101	1000
000011000110	1000
000011000111	0111
000011001000	1001
000011001001	1000
000011001010	1000
000011001011	0111
000011001100	1000
000011001101	0111
000011001110	0111
000011001111	0110
000011010000	1001
000011010001	1000
000011010010	1000
000011010011	0111
000011010100	1000
000011010101	0111
000011010110	0111
000011010111	0110
000011011000	1000
000011011001	0111
000011011010	0111
000011011011	0110
000011011100	0111
000011011101	0110
000011011110	0110
000011011111	0101
000011100000	1001
000011100001	1000
000011100010	1000
000011100011	0111
000011100100	1000
000011100101	0111
000011100110	0111
000011100111	0110
000011101000	1000
000011101001	0111
000011101010	0111
000011101011	0110
000011101100	0111
000011101101	0110
000011101110	0110
000011101111	0101
000011110000	1000
000011110001	0111
000011110010	0111
000011110011	0110
000011110100	0111
000011110101	0110
000011110110	0110
000011110111	0101
000011111000	0111
000011111001	0110
000011111010	0110
000011111011	0101
000011111100	0110
000011111101	0101
000011111110	0101
000011111111	0100
000100000000	1011
000100000001	1010
000100000010	1010
000100000011	1001
000100000100	1010
000100000101	1001
000100000110	1001
000100000111	1000
000100001000	1010
000100001001	1001
000100001010	1001
000100001011	1000
000100001100	1001
000100001101	1000
000100001110	1000
000100001111	0111
000100010000	1010
000100010001	1001
000100010010	1001
000100010011	1000
000100010100	1001
000100010101	1000
000100010110	1000
000100010111	0111
000100011000	1001
000100011001	1000
000100011010	1000
000100011011	0111
000100011100	1000
000100011101	0111
000100011110	0111
000100011111	0110
000100100000	1010
000100100001	1001
000100100010	1001
000100100011	1000
000100100100	1001
000100100101	1000
000100100110	1000
000100100111	0111
000100101000	1001
000100101001	1000
000100101010	1000
000100101011	0111
000100101100	1000
000100101101	0111
000100101110	0111
000100101111	0110
000100110000	1001
000100110001	1000
000100110010	1000
000100110011	0111
000100110100	1000
000100110101	0111
000100110110	0111
000100110111	0110
000100111000	1000
000100111001	0111
000100111010	0111
000100111011	0110
000100111100	0111
000100111101	0110
000100111110	0110
000100111111	0101
000101000000	1010
000101000001	1001
000101000010	1001
000101000011	1000
000101000100	1001
000101000101	1000
000101000110	1000
000101000111	0111
000101001000	1001
000101001001	1000
000101001010	1000
000101001011	0111
000101001100	1000
000101001101	0111
000101001110	0111
000101001111	0110
000101010000	1001
000101010001	1000
000101010010	1000
000101010011	0111
000101010100	1000
000101010101	0111
000101010110	0111
000101010111	0110
000101011000	1000
000101011001	0111
000101011010	0111
000101011011	0110
000101011100	0111
000101011101	0110
000101011110	0110
000101011111	0101
000101100000	1001
000101100001	1000
000101100010	1000
000101100011	0111
000101100100	1000
000101100101	0111
000101100110	0111
000101100111	0110
000101101000	1000
000101101001	0111
000101101010	0111
000101101011	0110
000101101100	0111
000101101101	0110
000101101110	0110
000101101111	0101
000101110000	1000
000101110001	0111
000101110010	0111
000101110011	0110
000101110100	0111
000101110101	0110
000101110110	0110
000101110111	0101
000101111000	0111
000101111001	0110
000101111010	0110
000101111011	0101
000101111100	0110
000101111101	0101
000101111110	0101
000101111111	0100
000110000000	1010
000110000001	1001
000110000010	1001
000110000011	1000
000110000100	1001
000110000101	1000
000110000110	1000
000110000111	0111
000110001000	1001
000110001001	1000
000110001010	1000
000110001011	0111
000110001100	1000
000110001101	0111
000110001110	0111
000110001111	0110
000110010000	1001
000110010001	1000
000110010010	1000
000110010011	0111
000110010100	1000
000110010101	0111
000110010110	0111
000110010111	0110
000110011000	1000
000110011001	0111
000110011010	0111
000110011011	0110
000110011100	0111
000110011101	0110
000110011110	0110
000110011111	0101
000110100000	1001
000110100001	1000
000110100010	1000
000110100011	0111
000110100100	1000
000110100101	0111
000110100110	0111
000110100111	0110
000110101000	1000
000110101001	0111
000110101010	0111
000110101011	0110
000110101100	0111
000110101101	0110
000110101110	0110
000110101111	0101
000110110000	1000
000110110001	0111
000110110010	0111
000110110011	0110
000110110100	0111
000110110101	0110
000110110110	0110
000110110111	0101
000110111000	0111
000110111001	0110
000110111010	0110
000110111011	0101
000110111100	0110
000110111101	0101
000110111110	0101
000110111111	0100
000111000000	1001
000111000001	1000
000111000010	1000
000111000011	0111
000111000100	1000
000111000101	0111
000111000110	0111
000111000111	0110
000111001000	1000
000111001001	0111
000111001010	0111
000111001011	0110
000111001100	0111
000111001101	0110
000111001110	0110
000111001111	0101
000111010000	1000
000111010001	0111
000111010010	0111
000111010011	0110
000111010100	0111
000111010101	0110
000111010110	0110
000111010111	0101
