inputa[8]	inputb[8]	areequal
00111111	10100011	0
11001011	01101011	0
00000111	01001000	0
01001100	01001100	1
00000011	01010101	0
00110011	00100100	0
10000111	11100001	0
11101110	11101110	1
11010000	11010000	1
10100001	00100101	0
00110011	11101110	0
10110001	10001001	0
11100000	11100000	1
01011100	01011100	1
01110101	00011101	0
11100110	11100110	1
11011101	11101011	0
11001111	11001100	0
00001000	00001000	1
10100001	00011111	0
11100111	00011000	0
11000111	00010010	0
00111111	10110111	0
11111001	11100000	0
11010000	11010000	1
10110110	10110110	1
00111111	01100001	0
01001100	01001100	1
01100000	01100000	1
11110100	11110100	1
01000001	00101001	0
01111010	01111010	1
10010010	10010010	1
11111001	00100111	0
11010011	00100001	0
00100110	00100110	1
11010110	11010110	1
10100101	01011110	0
00010101	00101110	0
11111001	00001011	0
01001110	01001110	1
01111010	01111010	1
11111100	11111100	1
11100000	11100000	1
00010011	11101110	0
11011101	00100101	0
10010011	10111110	0
01001010	01001010	1
01101110	01101110	1
01011010	01011010	1
00110110	00110110	1
01101011	00101001	0
00100000	00100000	1
11011110	11011110	1
11010111	00010110	0
01111101	11101101	0
10011100	10011100	1
11111011	11110000	0
00111011	01110101	0
11111011	01010001	0
01001001	10011101	0
00101001	01011100	0
00111010	00111010	1
11100110	11100110	1
11000010	11000010	1
00000001	00001100	0
00000011	01101111	0
00000001	11001100	0
00010110	00010110	1
10000001	01010001	0
01010111	00111111	0
00010101	00010111	0
00001001	00000100	0
01001011	01100011	0
11001010	11001010	1
00101111	11101100	0
01010010	01010010	1
11100111	10011010	0
00000111	11000101	0
11011110	11011110	1
11011101	10001011	0
11111110	11111110	1
00001010	00001010	1
01110111	01000011	0
00000111	10011101	0
10011110	10011110	1
01100100	01100100	1
01010010	01010010	1
11100110	11100110	1
01111010	01111010	1
01111011	11011111	0
00001011	10100011	0
01111111	11110001	0
00100111	11101110	0
11001000	11001000	1
11000011	11110010	0
00001111	11111111	0
01100001	10011010	0
00011001	10110010	0
01011101	00011110	0
01000100	01000100	1
01000101	01111101	0
11001110	11001110	1
11000011	10000101	0
10000001	01000000	0
10010110	10010110	1
00011101	10111100	0
00011111	00000111	0
00011111	00110110	0
11111010	11111010	1
01001111	10110001	0
00100100	00100100	1
10101000	10101000	1
00111011	11001000	0
00000010	00000010	1
01000100	01000100	1
00011011	00111011	0
10000111	10010001	0
01100110	01100110	1
11111000	11111000	1
00101100	00101100	1
10110001	00101000	0
10000001	00011101	0
11111100	11111100	1
10000010	10000010	1
01101110	01101110	1
01101100	01101100	1
10010001	01011101	0
