tenbitinput[10]	evenparity[11]
0000111111	00001111110
0011001011	00110010111
0100000111	01000001110
1101001100	11010011001
1100000011	11000000110
1000110011	10001100111
0010000111	00100001110
0011101110	00111011100
0111010000	01110100000
1010100001	10101000010
0100110011	01001100111
1010110001	10101100011
0111100000	01111000000
0101011100	01010111001
0101110101	01011101010
1011100110	10111001100
0011011101	00110111010
1111001111	11110011110
0100001000	01000010000
0010100001	00101000011
1111100111	11111001110
1111000111	11110001111
1000111111	10001111111
1111111001	11111110010
1011010000	10110100000
0110110110	01101101100
1100111111	11001111110
1001001100	10010011000
1101100000	11011000000
1011110100	10111101000
1101000001	11010000010
1001111010	10011110100
0010010010	00100100101
1111111001	11111110010
1111010011	11110100111
0100100110	01001001100
0111010110	01110101100
1010100101	10101001011
1000010101	10000101010
0011111001	00111110010
1001001110	10010011101
0001111010	00011110101
1111111100	11111111000
1011100000	10111000000
0000010011	00000100111
0011011101	00110111010
0110010011	01100100111
1001001010	10010010100
1101101110	11011011101
1101011010	11010110100
1000110110	10001101101
0101101011	01011010110
1000100000	10001000000
0111011110	01110111101
0111010111	01110101111
0101111101	01011111011
1010011100	10100111001
1011111011	10111110110
1000111011	10001110110
1011111011	10111110110
1101001001	11010010011
0000101001	00001010011
0000111010	00001110100
0111100110	01111001100
0111000010	01110000100
0000000001	00000000011
0100000011	01000000111
1000000001	10000000010
1000010110	10000101100
0010000001	00100000010
1101010111	11010101111
1100010101	11000101011
1000001001	10000010011
0101001011	01010010111
0011001010	00110010100
0100101111	01001011110
0001010010	00010100101
0111100111	01111001111
1100000111	11000001111
0011011110	00110111100
1111011101	11110111010
1111111110	11111111101
0100001010	01000010101
1101110111	11011101110
1100000111	11000001111
0110011110	01100111100
0001100100	00011001001
1101010010	11010100101
1011100110	10111001100
1101111010	11011110101
1001111011	10011110111
0000001011	00000010111
1001111111	10011111110
1100100111	11001001110
0111001000	01110010000
1011000011	10110000111
1000001111	10000011111
0101100001	01011000010
1100011001	11000110011
1001011101	10010111010
1001000100	10010001001
0001000101	00010001011
1011001110	10110011100
1111000011	11110000110
1110000001	11100000010
0110010110	01100101101
1000011101	10000111011
1000011111	10000111110
0100011111	01000111110
0011111010	00111110100
0001001111	00010011111
1100100100	11001001000
0010101000	00101010001
1000111011	10001110110
0000000010	00000000101
1101000100	11010001000
0100011011	01000110111
1110000111	11100001110
0001100110	00011001100
0111111000	01111110000
1000101100	10001011000
1110110001	11101100010
1010000001	10100000011
0111111100	01111111001
1110000010	11100000100
0001101110	00011011101
1001101100	10011011001
0110010001	01100100010
