inputa[4]	inputb[4]	operation[3]	aluout[4]
0001	1010	001	0101
1101	0000	001	1111
0010	1100	110	1110
0011	0001	011	0010
1111	1100	110	1011
0010	0101	101	1101
0001	0100	100	0101
0110	1001	000	0000
1010	0011	101	0101
1110	1001	101	0001
0111	1101	000	0101
1001	1000	011	0001
1000	1001	100	0001
1000	1110	100	0110
0010	0011	101	1101
1101	0101	001	1010
0110	1110	010	1110
1001	1110	011	1011
0011	0100	011	1111
0100	0001	000	0000
0110	0011	011	0011
1100	0100	101	0011
1011	0001	100	1010
0101	0010	010	0111
0111	0111	001	1000
0101	0100	101	1010
0101	1100	001	0011
1001	1011	011	1110
1101	0111	010	1111
0101	0010	100	0111
0001	1011	011	0110
0001	0101	000	0001
0111	1101	101	1000
1111	1010	110	1001
1110	0101	011	1001
1110	0001	011	1101
0101	0110	101	1010
1100	1010	010	1110
0010	0110	100	0100
1001	1001	011	0000
1110	1000	011	0110
0000	0110	110	0110
1010	1001	101	0101
0001	0001	110	0010
0111	1101	101	1000
1100	0110	001	1001
0000	0000	000	0000
1010	0011	101	0101
1100	1000	010	1100
0111	0111	000	0111
0110	1001	011	1101
1111	0101	001	1010
0000	1111	001	0000
1110	1000	011	0110
0011	1101	011	0110
0100	0000	010	0100
1101	0010	011	1011
1101	0001	110	1110
1100	1111	100	0011
0001	1011	110	1100
1111	0110	101	0000
1101	1011	010	1111
1101	1011	101	0010
1100	0011	001	1100
0110	1000	000	0000
0010	0101	011	1101
0110	1011	101	1001
1101	1110	001	0001
0100	0111	010	0111
0101	0001	000	0001
0100	0000	001	1111
1100	1000	011	0100
1000	1110	011	1010
0000	0111	011	1001
1011	0111	110	0010
0101	1100	001	0011
0011	1100	010	1111
0000	0100	000	0000
0011	1000	001	0111
0011	0101	011	1110
1111	0110	011	1001
1001	0111	110	0000
0001	0101	000	0001
0111	1110	011	1001
0011	1001	000	0001
1011	0110	010	1111
1111	1000	110	0111
0011	0101	010	0111
1111	0111	001	1000
0111	1011	000	0011
1100	1100	100	0000
1111	0100	011	1011
1100	1000	101	0011
0011	0010	001	1101
0001	1111	100	1110
0011	1100	100	1111
1000	1111	000	1000
1110	0000	001	1111
0000	1111	101	1111
0011	0111	011	1100
1001	1110	011	1011
0100	1010	000	0000
1011	0001	011	1010
0000	0111	011	1001
0110	0101	100	0011
0111	1101	010	1111
1111	0111	101	0000
1000	0111	110	1111
1001	0101	101	0110
1101	0111	011	0110
0001	1011	110	1100
1001	1010	010	1011
1100	1010	001	0101
1001	0000	100	1001
1000	0101	101	0111
1110	1100	110	1010
1011	0001	100	1010
1011	1110	010	1111
0011	0011	011	0000
0100	0001	011	0011
1011	0100	001	1011
1110	0000	011	1110
1010	0011	001	1100
0011	0111	000	0011
0001	1101	010	1101
1110	0111	001	1000
0011	0110	011	1101
1001	0000	011	1001
1100	0010	100	1110
1011	1011	000	1011
0010	0001	001	1110
1111	1110	011	0001
0010	1100	010	1110
0100	0101	000	0100
1100	1010	010	1110
0110	0101	001	1010
0011	1100	110	1111
1111	0110	101	0000
1011	1001	000	1001
1010	0100	100	1110
0101	1001	100	1100
1101	0010	000	0000
1111	1011	000	1011
1110	0010	010	1110
0001	0010	001	1101
1111	0001	100	1110
0000	1100	000	0000
0101	0000	010	0101
0100	1000	101	1011
1001	0000	011	1001
0011	1110	100	1101
0111	0100	101	1000
1101	1001	101	0010
1001	0001	011	1000
1010	0011	011	0111
1111	0010	010	1111
1100	0100	100	1000
1000	1010	010	1010
0111	0010	000	0010
1101	0000	011	1101
1101	0010	110	1111
0100	0110	000	0100
1111	0000	010	1111
0100	0010	011	0010
1100	0000	101	0011
1101	0010	001	1101
1101	1010	110	0111
1111	0001	011	1110
1110	0100	101	0001
0000	0100	010	0100
0100	1100	001	0011
1100	0010	011	1010
0101	1000	001	0111
1000	0010	001	1101
0010	0101	011	1101
0001	1101	011	0100
1001	1110	101	0110
0100	1010	101	1011
1111	1000	000	1000
1011	1000	011	0011
1100	1110	010	1110
1011	1100	100	0111
0110	1000	110	1110
1101	1111	000	1101
0011	0111	011	1100
0001	1111	100	1110
0001	1101	010	1101
0011	0110	101	1100
1000	1110	011	1010
1010	1011	101	0101
0010	0000	110	0010
0000	1011	001	0100
1000	1111	101	0111
0001	0001	010	0001
1100	1101	001	0010
0001	0100	001	1011
0010	1011	101	1101
1000	0001	100	1001
0011	0010	110	0101
1011	1101	011	1110
0010	1101	001	0010
0011	0101	011	1110
0000	0000	110	0000
1111	0001	010	1111
0110	0001	011	0101
0111	1000	100	1111
1110	1100	011	0010
0101	1011	101	1010
0011	1111	110	0010
0010	1011	011	0111
1001	1001	101	0110
0011	0110	101	1100
0001	0010	101	1110
1101	0010	011	1011
0000	0010	110	0010
1001	0000	100	1001
1001	1110	101	0110
0001	1001	010	1001
0110	0000	110	0110
0001	0100	010	0101
0100	1010	011	1010
1101	1011	000	1001
1001	0011	000	0001
0101	0000	011	0101
1100	1001	001	0110
1010	1100	100	0110
0000	0111	100	0111
1000	0010	011	0110
0011	1101	011	0110
1110	0010	011	1100
0010	0010	100	0000
1101	1001	000	1001
1110	0110	010	1110
0001	1011	110	1100
0010	0111	001	1000
0100	0001	011	0011
0100	0101	001	1010
0100	0101	000	0100
1001	1110	100	0111
1010	1101	000	1000
1100	0101	100	1001
0010	0101	001	1010
0100	0000	110	0100
1101	1001	100	0100
1110	0101	101	0001
0110	0011	011	0011
0101	1100	010	1101
1001	1001	001	0110
1101	1110	001	0001
0000	1111	001	0000
1011	1101	011	1110
1001	1010	011	1111
1100	1010	000	1000
1010	1000	100	0010
0001	1001	000	0001
1011	0001	011	1010
0100	1111	001	0000
1010	0111	011	0011
1110	1111	100	0001
1001	1101	011	1100
1100	0101	101	0011
1000	0110	011	0010
1111	1001	011	0110
0101	0011	001	1100
1110	0000	000	0000
0100	0101	101	1011
0000	1111	000	0000
1100	0010	101	0011
1101	0011	101	0010
0111	0111	100	0000
1000	1100	011	1100
0010	0001	100	0011
0000	0000	000	0000
1100	0110	101	0011
0011	1101	101	1100
1011	0001	100	1010
0001	0111	010	0111
1111	1110	000	1110
1100	0101	100	1001
0000	1001	000	0000
1100	0110	001	1001
1001	0001	001	1110
1000	0100	101	0111
1101	1010	101	0010
1101	1011	110	1000
1010	0100	001	1011
0000	0010	101	1111
0011	1101	011	0110
1111	0001	011	1110
1001	0011	011	0110
1101	0101	010	1101
0111	0110	011	0001
1001	0100	100	1101
1111	1100	001	0011
0000	1000	011	1000
0011	1100	100	1111
1110	1010	011	0100
0100	0011	101	1011
0000	1000	101	1111
1000	0101	000	0000
1101	1100	101	0010
1010	0000	010	1010
0000	0101	110	0101
1100	1001	001	0110
1011	1111	000	1011
1010	0000	010	1010
1110	0000	001	1111
1100	1110	101	0011
0111	0111	100	0000
0011	0010	110	0101
1000	1110	010	1110
1110	1111	011	1111
0010	0110	011	1100
0010	1111	010	1111
0000	0101	000	0000
1110	0011	100	1101
0101	0000	010	0101
0101	1101	011	1000
1001	1111	110	1000
0000	0101	000	0000
