inputdata[15]	correcteddata[11]
010111111111010	01011111110
101100100111111	10110010111
000110110001010	00011010000
000011001111001	00001101110
000100100100011	00010010100
111101010000100	11110100001
100110011100001	10011001100
001111001111111	00111101111
010110100000000	01011010000
011110100000100	00111010001
101010101010010	10101011010
101001101010100	10100111011
110000111100001	11000011100
000001100000011	00000110000
001111001110001	00111101100
110100101110111	11010011111
010000010001010	01000000000
010000111010101	11000011011
000101110111001	00010110110
011100111000101	01111011001
100111011101011	10001101100
111100100101010	11110000100
110111000001001	11011110000
111010111101100	11101011101
011111100010010	01111110010
110001011111100	11000101111
101000110110000	10100010110
111100110000110	11110010001
110000000110101	11000000111
010111100110110	01011110111
111001001000001	11100101000
010000100010010	01000010010
001010000111110	00101000111
011010001001000	01100001000
000111011101000	00011101100
010011001111100	01011101111
011101001110110	01110101111
001011000010101	00100100011
110001011001000	11000101000
111111101010011	11111101010
100011000011011	10011100010
010110101111111	01011011111
100111011000100	11011101001
111101101010110	11110111011
100001010100111	10001100101
000111000011110	00111100011
111110010100100	11111000001
101010011100111	10101001101
111111010100000	01111100100
000001001110011	00100101110
110000000000110	11000000001
111000010001000	11100000000
101011001100000	10101101100
110010101000011	11001010000
000000001101010	00000000100
001111001110011	00111100110
101101110001001	10110110000
110101110001010	11010110000
001011010111011	00101100110
001000010111101	00100000111
010010000111010	01001000110
000110000100010	00011000101
011010010101101	01101000101
010100101110110	00010011111
011111000111110	01111100111
001010111110011	00101011110
001100011000011	00010001000
101010101100011	10101011100
100101100101010	10010110100
100100101010100	10011011011
110000110101101	11000010101
111101010011011	11110100010
010011011101010	01001101100
100011100010010	10001110010
101000101011011	11100011010
010010010110101	01011000111
100101101001011	10010111000
111011011101000	11101101100
101010010110010	10101000110
000011101001001	00001011000
111011010000110	11101100001
000011000110010	00001100110
001000001111010	10100001110
111010010100000	11101010100
000100100100101	00010010101
110100000010001	11010010010
101111011011001	10111101010
111011011101111	11101101101
011001010110101	01100100111
010111110101111	01011110101
110100100110100	11010010111
000010011010010	00001001011
100100011100110	10011001101
001101011001000	00110101000
101010100111110	10101010011
100110011001100	10011001001
000011000000111	00001100001
111000101000010	11100011000
100001000100100	10000100101
010001110111010	01000110110
100000000001110	10000100001
001010000111110	00101000111
000000100010110	00100010011
011100100111110	01110010111
011111100001011	01111110000
101000001010010	10100001010
000011011011110	01001101011
000110010001110	00011100001
110100110101011	11110010100
111110001011001	11101001010
110011101101111	11011111101
010010000001001	01001000000
100111110110110	10011110111
010010000100011	01001000100
010010101101001	01001011100
111010110100000	11101010100
110011100110100	11001100111
110110001000110	11011001001
101001010000111	10100100001
010011100001010	01001110000
100110100110100	10011010111
001100100000001	00110000000
000001001000000	00100101000
111110101010111	11111011011
100000111100110	11000011101
100001000001001	10000100000
001110100011010	00111010010
001000011110110	00100001111
111001110010101	11100110011
010101101001010	01010111000
100010010011101	00001000011
011111100110011	01111111110
000011101000001	01001111000
100111001001001	10011101000
011101000010111	01110100011
110010011001110	11001001001
001111001100110	00111101101
010001010110101	01100100111
101010101111000	10101011110
100100000110111	10010000111
101111111001110	10101111001
111111111100001	11111111100
001011010100010	00101100100
001100010111001	10110000110
101001000110011	10100100110
101010010110010	10101000110
010011011011110	01001101011
001100000011000	00110000010
111011010010000	11101100010
101011110101111	10101110101
010001001100100	01000101001
101011100000010	10101110000
001010010000000	01101000000
000110001110100	00011001111
101100101011110	10110011011
010011111000010	01000111000
110101110111001	11010110110
110101001101101	11010101101
001010010011000	10101000010
111011110011110	11111110011
